Source Name,dataset/datasize,Average encoder_text_rmse_all,StdDev encoder_text_rmse_all
runnables/train_coso.py,2000,18.50421305005924,6.776651319005891
runnables/train_coso.py,4000,17.17958100709637,7.87768958728525
runnables/train_coso.py,6000,19.31262055058252,7.003150106577761
runnables/train_coso.py,8000,19.168005969323908,8.020154112656122
runnables/train_coso.py,10000,17.665437512866333,8.173546160387744
runnables/train_enc_dec.py,2000,20.406921865428046,7.441426727054745
runnables/train_enc_dec.py,4000,18.225103950832594,5.069766468251299
runnables/train_enc_dec.py,6000,19.369713841336164,6.52172749235382
runnables/train_enc_dec.py,8000,19.337867662881912,5.844486283634351
runnables/train_enc_dec.py,10000,18.611622090633823,5.023434922794649
runnables/train_gnet.py,2000,22.375543726974907,8.009773562719973
runnables/train_gnet.py,4000,20.63853259888842,6.829839687413115
runnables/train_gnet.py,6000,21.734142042377147,7.938826843060077
runnables/train_gnet.py,8000,20.713261895172106,6.453275463073152
runnables/train_gnet.py,10000,20.029256623679835,6.1572824518157265
runnables/train_rmsn.py,2000,27.80760866982351,15.961014517105582
runnables/train_rmsn.py,4000,30.805264781238975,15.722636606941936
runnables/train_rmsn.py,6000,24.621879950304447,9.568180613447744
runnables/train_rmsn.py,8000,22.675123643313263,8.209095254300296
runnables/train_rmsn.py,10000,26.572609176965813,13.617654736753023
